ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,Pins,3DModel,Contributor,JLCPCB Part Class,LCSC Assembly,SMT Type,description,image,link,subpart_no
11,TL074_SMD,"U6, U7",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,2,,TI(德州仪器),LCSC,C2057504,0.648,14,SOIC-14_L8.6-W3.9-H1.8-LS6.0-P1.27,rossgrady,,,,,,https://item.szlcsc.com/7253.html,1
12,0.1uF,"C3, C4, C7, C11, C16, C27, C28, C29, C31, C33",C0805,10,CC0805KRX7R9BB104,YAGEO(国巨),LCSC,C49678,0.004,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,,,https://item.szlcsc.com/373011.html,
13,47k,"R5, R11",R0805,2,0805W8F4702T5E,UNI-ROYAL(厚声),LCSC,C17713,0.002,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,,https://item.szlcsc.com/142685.html,
14,OPA2196IDR,U5,SOIC-8_L5.0-W3.2-P1.27-LS8.3-BL,1,OPA2196IDR,TI(德州仪器),LCSC,C2057972,,8,SOIC-8_L4.9-W3.9-H1.7-LS6.0-P1.27,amsmith1109,,,,,,http://www.ti.com/lit/ds/symlink/opa196.pdf,
15,CD4073BM96,U10,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,CD4073BM96,TI(德州仪器),LCSC,C108678,0.267,14,SOIC-14_L8.6-W3.9-H1.8-LS6.0-P1.27,lcsc,Extended Part,,,,,https://lcsc.com/eda_search?q=C108678&%26type=1&ref=editor,
16,1N5819,"D6, D7",SOD-123_FOR-5819,2,1N5819HWQ-7-F,Diodes Incorporated,LCSC,C460770,0.132,2,SOD-123_L2.8-W1.8-LS3.7-RD,LCSC,,,,,,https://item.szlcsc.com/301422.html,
17,Ferrite,"F1, F2",R0805,2,PBY201209T-601Y-N,chilisin(奇力新),LCSC,C108304,0.01,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,,https://item.szlcsc.com/142685.html,
18,100pF,"C5, C10",C0805,2,CL21C101JBANNNC,SAMSUNG(三星),LCSC,C1790,0.01,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,,,https://item.szlcsc.com/373011.html,
19,10uF,"C9, C30",C0805,2,CL21A106KAYNNNE,SAMSUNG(三星),LCSC,C15850,0.01,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,,,https://item.szlcsc.com/373011.html,
20,CD4053BM96,"U11, U12",SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,2,CD4053BM96,TI(德州仪器),LCSC,C6742,0.31,16,SOIC-16_L9.9-W3.9-H1.8-LS6.0-P1.27,lcsc,Extended Part,,,,,http://datasheet.octopart.com/MC14076BDR2G-ON-Semiconductor-datasheet-608107.pdf,
21,CD4028BM96,U2,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,CD4028BM96,TI,LCSC,C131484,0.304,16,SOIC-16_L9.9-W3.9-H1.8-LS6.0-P1.27,官方封装库,,Yes,Extend,,,https://item.szlcsc.com/241229.html,
22,CD4029BCSJ,U3,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,CD4029BM96,TI(德州仪器),LCSC,C2675479,0.388,16,SOIC-16_L9.9-W3.9-H1.8-LS6.0-P1.27,官方封装库,,,,Presettable BinaryDecade UpDown Counter,,https://item.szlcsc.com/241229.html,
23,IDC Box 2.54mm 2X5P,P1,EURO_PWR_HEADER_LOCK,1,IDC Box 2.54mm 2X5P,BOOMELE,LCSC,C5665,0.071,10,,rossgrady,,,,,//image.lceda.cn/szlcsc/C5665.jpg,,
